transactionId,userId,amount,timestamp,merchant,location,type,is_fraud
tx_38,user_415,3936.85,2025-02-02 07:22:36.677129,Zara,"New York, USA",offline,1
tx_39,user_279,2244.31,2025-02-02 07:22:36.677129,Sephora,"New York, USA",online,0
tx_40,user_432,3751.09,2025-02-02 07:22:36.677129,Starbucks,"Tokyo, Japan",online,0
tx_41,user_93,3193.79,2025-02-02 07:22:36.677129,Apple,"Boston, USA",online,0
tx_42,user_219,135.12,2025-02-02 07:22:36.677129,Uber,"Madrid, Spain",offline,1
tx_43,user_113,2641.21,2025-02-02 07:22:36.677129,Apple,"Kyiv, Ukraine",offline,1
tx_44,user_200,1731.56,2025-02-02 07:22:36.677129,McDonald's,"Mexico City, Mexico",online,0
tx_45,user_375,2462.47,2025-02-02 07:22:36.677129,IKEA,"Sydney, Australia",online,0
tx_46,user_132,747.0,2025-02-02 07:22:36.677129,Apple,"São Paulo, Brazil",offline,0
tx_47,user_188,4838.82,2025-02-02 07:22:36.677129,McDonald's,"Houston, USA",online,0
tx_48,user_70,4497.57,2025-02-02 07:22:36.677129,Sephora,"Madrid, Spain",online,0
tx_49,user_304,4762.61,2025-02-02 07:22:36.677129,Zara,"Dubai, UAE",offline,0
tx_50,user_345,2277.85,2025-02-02 07:22:36.677129,H&M,"Beijing, China",online,0
tx_51,user_450,3941.18,2025-02-02 07:22:36.677129,Amazon,"Mexico City, Mexico",offline,1
tx_52,user_83,3621.01,2025-02-02 07:22:36.677129,McDonald's,"Beijing, China",online,0
tx_53,user_44,2824.66,2025-02-02 07:22:36.677129,Sephora,"Melbourne, Australia",offline,1
tx_54,user_31,1685.92,2025-02-02 07:22:36.677129,Disney+,"São Paulo, Brazil",offline,1
tx_55,user_135,1182.26,2025-02-02 07:22:36.677129,Adidas,"Kyiv, Ukraine",offline,1
tx_56,user_335,4032.71,2025-02-02 07:22:36.677129,IKEA,"Houston, USA",offline,1
tx_57,user_287,1795.32,2025-02-02 07:22:36.677129,Walmart,"Melbourne, Australia",online,0
tx_58,user_332,2623.05,2025-02-02 07:22:36.677129,eBay,"London, UK",online,0
tx_59,user_17,2165.63,2025-02-02 07:22:36.677129,Sephora,"Shanghai, China",online,0
tx_60,user_9,2639.76,2025-02-02 07:22:36.677129,PlayStation Store,"London, UK",online,0
tx_61,user_175,3868.33,2025-02-02 07:22:36.677129,BestBuy,"Singapore, Singapore",offline,1
tx_62,user_5,4071.53,2025-02-02 07:22:36.677129,Lyft,"Madrid, Spain",online,0
tx_63,user_427,1168.83,2025-02-02 07:22:36.677129,Target,"New York, USA",online,0
tx_64,user_50,4504.28,2025-02-02 07:22:36.677129,Nike,"Shanghai, China",online,0
tx_65,user_251,4192.44,2025-02-02 07:22:36.677129,Burger King,"Melbourne, Australia",offline,1
tx_66,user_202,3961.06,2025-02-02 07:22:36.677129,Sephora,"Melbourne, Australia",online,0
tx_67,user_369,331.87,2025-02-02 07:22:36.677129,Tesla,"Miami, USA",online,0
tx_68,user_376,2109.12,2025-02-02 07:22:36.677129,Tesla,"Osaka, Japan",online,0
tx_69,user_238,1956.02,2025-02-02 07:22:36.677129,IKEA,"Houston, USA",online,0
tx_70,user_227,2130.6,2025-02-02 07:22:36.677129,Netflix,"Madrid, Spain",online,0
tx_71,user_294,3709.88,2025-02-02 07:22:36.677129,Sephora,"Dubai, UAE",offline,1
tx_72,user_355,3204.6,2025-02-02 07:22:36.677129,PlayStation Store,"Miami, USA",offline,1
tx_73,user_249,2857.82,2025-02-02 07:22:36.677129,Google Play,"Kyiv, Ukraine",online,0
tx_74,user_463,2432.89,2025-02-02 07:22:36.677129,Burger King,"San Francisco, USA",online,0
tx_75,user_186,4366.85,2025-02-02 07:22:36.677129,eBay,"Manchester, UK",online,0
tx_76,user_361,631.44,2025-02-02 07:22:36.677129,IKEA,"Paris, France",online,0
tx_77,user_227,1342.73,2025-02-02 07:22:36.677129,Uber,"Los Angeles, USA",offline,1
tx_78,user_309,4144.01,2025-02-02 07:22:36.677129,IKEA,"Paris, France",online,0
tx_79,user_10,3101.04,2025-02-02 07:22:36.677129,Amazon,"Vancouver, Canada",offline,1
tx_80,user_496,1896.15,2025-02-02 07:22:36.677129,Walmart,"Boston, USA",offline,1
tx_81,user_247,2902.5,2025-02-02 07:22:36.677129,AliExpress,"Miami, USA",offline,1
tx_82,user_107,3159.98,2025-02-02 07:22:36.677129,Google Play,"Singapore, Singapore",offline,1
tx_83,user_66,722.7,2025-02-02 07:22:36.677129,Microsoft Store,"Chicago, USA",online,0
tx_84,user_6,1775.64,2025-02-02 07:22:36.677129,Burger King,"Tokyo, Japan",online,0
tx_85,user_25,1948.48,2025-02-02 07:22:36.677129,Hulu,"Boston, USA",offline,1
tx_86,user_40,3913.34,2025-02-02 07:22:36.677129,Apple,"Miami, USA",online,0
tx_87,user_143,1224.04,2025-02-02 07:22:36.677129,AliExpress,"Berlin, Germany",online,0
tx_88,user_411,4501.48,2025-02-02 07:22:36.677129,Target,"Melbourne, Australia",offline,1
tx_89,user_454,4968.68,2025-02-02 07:22:36.677129,Google Play,"Kyiv, Ukraine",online,0
tx_90,user_152,2062.29,2025-02-02 07:22:36.677129,H&M,"Shanghai, China",online,0
tx_91,user_324,1717.11,2025-02-02 07:22:36.677129,BestBuy,"Paris, France",online,0
tx_92,user_188,4069.95,2025-02-02 07:22:36.677129,BestBuy,"San Francisco, USA",offline,1
tx_93,user_433,1542.03,2025-02-02 07:22:36.677129,H&M,"New York, USA",online,0
tx_94,user_225,2653.7,2025-02-02 07:22:36.677129,Target,"Sydney, Australia",online,0
tx_95,user_151,3020.02,2025-02-02 07:22:36.677129,Netflix,"Berlin, Germany",offline,1
tx_96,user_448,3326.86,2025-02-02 07:22:36.677129,Netflix,"Madrid, Spain",offline,1
tx_97,user_200,1977.68,2025-02-02 07:22:36.677129,Lyft,"Manchester, UK",online,0
tx_98,user_420,2866.1,2025-02-02 07:22:36.677129,eBay,"Tokyo, Japan",online,0
tx_99,user_91,3061.05,2025-02-02 07:22:36.677129,Target,"Sydney, Australia",online,0
tx_100,user_183,3916.34,2025-02-02 07:22:36.677129,Sephora,"Los Angeles, USA",offline,1
tx_101,user_228,3836.49,2025-02-02 07:22:36.677129,Burger King,"San Francisco, USA",online,0
tx_102,user_489,4231.55,2025-02-02 07:22:36.677129,BestBuy,"Vancouver, Canada",online,0
tx_103,user_25,3508.16,2025-02-02 07:22:36.677129,H&M,"Miami, USA",offline,1
tx_104,user_170,3278.94,2025-02-02 07:22:36.677129,Disney+,"San Francisco, USA",offline,1
tx_105,user_444,3265.15,2025-02-02 07:22:36.677129,Zara,"Boston, USA",online,0
tx_106,user_343,2053.92,2025-02-02 07:22:36.677129,Uber,"Toronto, Canada",offline,1
tx_107,user_205,1689.18,2025-02-02 07:22:36.677129,Burger King,"Singapore, Singapore",online,0
tx_108,user_452,3817.12,2025-02-02 07:22:36.677129,McDonald's,"Melbourne, Australia",online,0
tx_109,user_446,4874.12,2025-02-02 07:22:36.677129,Adidas,"Vancouver, Canada",offline,1
tx_110,user_473,1877.59,2025-02-02 07:22:36.677129,Burger King,"Los Angeles, USA",online,0
tx_111,user_460,338.87,2025-02-02 07:22:36.678129,Uber,"Madrid, Spain",offline,1
tx_112,user_65,360.09,2025-02-02 07:22:36.678129,Tesla,"Mexico City, Mexico",online,0
tx_113,user_197,641.31,2025-02-02 07:22:36.678129,Tesla,"Houston, USA",online,0
tx_114,user_263,4109.36,2025-02-02 07:22:36.678129,H&M,"San Francisco, USA",online,0
tx_115,user_169,4294.85,2025-02-02 07:22:36.678129,eBay,"Singapore, Singapore",offline,1
tx_116,user_455,1058.97,2025-02-02 07:22:36.678129,Google Play,"New York, USA",online,0
tx_117,user_247,530.95,2025-02-02 07:22:36.678129,IKEA,"Berlin, Germany",online,0
tx_118,user_295,1538.11,2025-02-02 07:22:36.678129,IKEA,"San Francisco, USA",offline,1
tx_119,user_291,430.73,2025-02-02 07:22:36.678129,Microsoft Store,"Berlin, Germany",online,0
tx_120,user_426,2744.27,2025-02-02 07:22:36.678129,Microsoft Store,"Shanghai, China",offline,1
tx_121,user_165,2556.51,2025-02-02 07:22:36.678129,Adidas,"Berlin, Germany",offline,1
tx_122,user_292,4486.29,2025-02-02 07:22:36.678129,Hulu,"New York, USA",offline,1
tx_123,user_486,717.4,2025-02-02 07:22:36.678129,BestBuy,"São Paulo, Brazil",offline,1
tx_124,user_196,1723.13,2025-02-02 07:22:36.678129,Lyft,"London, UK",online,0
tx_125,user_336,1837.64,2025-02-02 07:22:36.678129,AliExpress,"Boston, USA",online,0
tx_126,user_124,4075.75,2025-02-02 07:22:36.678129,Burger King,"Singapore, Singapore",offline,1
tx_127,user_415,4763.51,2025-02-02 07:22:36.678129,Hulu,"Shanghai, China",online,0
tx_128,user_323,2388.97,2025-02-02 07:22:36.678129,Disney+,"Beijing, China",online,0
tx_129,user_208,1740.38,2025-02-02 07:22:36.678129,Tesla,"Vancouver, Canada",offline,1
tx_130,user_171,4728.96,2025-02-02 07:22:36.678129,Burger King,"Sydney, Australia",online,0
tx_131,user_326,3093.64,2025-02-02 07:22:36.678129,Sephora,"Boston, USA",offline,0
tx_132,user_454,2168.81,2025-02-02 07:22:36.678129,Nike,"Boston, USA",online,0
tx_133,user_467,2454.64,2025-02-02 07:22:36.678129,Sephora,"Dubai, UAE",offline,1
tx_134,user_37,1686.71,2025-02-02 07:22:36.678129,BestBuy,"Berlin, Germany",online,0
tx_135,user_281,407.41,2025-02-02 07:22:36.678129,Target,"Toronto, Canada",offline,1
tx_136,user_185,390.74,2025-02-02 07:22:36.678129,Walmart,"Shanghai, China",online,0
tx_137,user_158,2691.7,2025-02-02 07:22:36.678129,Microsoft Store,"Boston, USA",offline,1
tx_138,user_357,2872.02,2025-02-02 07:22:36.678129,Tesla,"Los Angeles, USA",online,0
tx_139,user_211,1099.14,2025-02-02 07:22:36.678129,Google Play,"London, UK",offline,1
tx_140,user_74,2911.6,2025-02-02 07:22:36.678129,Hulu,"Melbourne, Australia",offline,1
tx_141,user_329,1464.37,2025-02-02 07:22:36.678129,AliExpress,"New York, USA",offline,1
tx_142,user_204,2252.88,2025-02-02 07:22:36.678129,Starbucks,"Boston, USA",online,0
tx_143,user_295,339.54,2025-02-02 07:22:36.678129,Target,"Dubai, UAE",offline,1
tx_144,user_199,3987.45,2025-02-02 07:22:36.678129,Lyft,"Beijing, China",offline,1
tx_145,user_79,620.69,2025-02-02 07:22:36.678129,Microsoft Store,"Sydney, Australia",offline,1
tx_146,user_218,2220.7,2025-02-02 07:22:36.678129,Netflix,"Manchester, UK",offline,1
tx_147,user_28,3775.53,2025-02-02 07:22:36.678129,BestBuy,"Dubai, UAE",online,0
tx_148,user_335,1695.15,2025-02-02 07:22:36.678129,Sephora,"Sydney, Australia",online,0
tx_149,user_150,3706.36,2025-02-02 07:22:36.678129,Microsoft Store,"Shanghai, China",offline,1
tx_150,user_140,1599.29,2025-02-02 07:22:36.678129,Lyft,"Boston, USA",online,0
tx_151,user_418,1248.59,2025-02-02 07:22:36.678129,Zara,"Rome, Italy",offline,1
tx_152,user_201,2519.86,2025-02-02 07:22:36.678129,Uber,"Vancouver, Canada",online,0
tx_153,user_171,410.27,2025-02-02 07:22:36.678129,McDonald's,"Manchester, UK",offline,1
tx_154,user_422,1273.74,2025-02-02 07:22:36.678129,BestBuy,"Mexico City, Mexico",offline,0
tx_155,user_184,898.13,2025-02-02 07:22:36.678129,Target,"Singapore, Singapore",online,0
tx_156,user_472,974.27,2025-02-02 07:22:36.678129,Netflix,"Mexico City, Mexico",offline,1
tx_157,user_64,4165.31,2025-02-02 07:22:36.678129,eBay,"Vancouver, Canada",online,0
tx_158,user_448,2250.44,2025-02-02 07:22:36.678129,AliExpress,"Boston, USA",offline,1
tx_159,user_320,1825.72,2025-02-02 07:22:36.678129,Tesla,"Mexico City, Mexico",offline,1
tx_160,user_438,1851.17,2025-02-02 07:22:36.678129,Netflix,"Paris, France",offline,1
tx_161,user_447,3403.9,2025-02-02 07:22:36.678129,Sephora,"Madrid, Spain",offline,0
tx_162,user_150,574.8,2025-02-02 07:22:36.678129,Sephora,"Tokyo, Japan",offline,1
tx_163,user_228,945.37,2025-02-02 07:22:36.678129,Hulu,"Osaka, Japan",offline,1
tx_164,user_58,2829.74,2025-02-02 07:22:36.678129,BestBuy,"Mexico City, Mexico",offline,1
tx_165,user_373,614.68,2025-02-02 07:22:36.678129,PlayStation Store,"Osaka, Japan",online,0
tx_166,user_125,4738.08,2025-02-02 07:22:36.678129,PlayStation Store,"Singapore, Singapore",online,0
tx_167,user_7,1531.16,2025-02-02 07:22:36.678129,Adidas,"Chicago, USA",offline,1
tx_168,user_326,4404.73,2025-02-02 07:22:36.678129,H&M,"Melbourne, Australia",online,0
tx_169,user_437,2423.37,2025-02-02 07:22:36.678129,Lyft,"Miami, USA",online,0
tx_170,user_418,2831.74,2025-02-02 07:22:36.678129,Burger King,"Toronto, Canada",offline,1
tx_171,user_160,1828.77,2025-02-02 07:22:36.678129,Apple,"New York, USA",online,0
tx_172,user_424,4399.28,2025-02-02 07:22:36.678129,Lyft,"Berlin, Germany",offline,1
tx_173,user_437,3758.4,2025-02-02 07:22:36.678129,Nike,"London, UK",offline,1
tx_174,user_289,4266.92,2025-02-02 07:22:36.678129,Target,"Chicago, USA",online,0
tx_175,user_125,2977.94,2025-02-02 07:22:36.678129,McDonald's,"Manchester, UK",offline,1
tx_176,user_76,1015.83,2025-02-02 07:22:36.678129,BestBuy,"Tokyo, Japan",online,0
tx_177,user_176,4109.07,2025-02-02 07:22:36.678129,Starbucks,"San Francisco, USA",online,0
tx_178,user_401,4022.7,2025-02-02 07:22:36.678129,eBay,"Beijing, China",offline,1
tx_179,user_37,3146.57,2025-02-02 07:22:36.678129,H&M,"Madrid, Spain",offline,1
tx_180,user_50,1144.77,2025-02-02 07:22:36.678129,McDonald's,"Manchester, UK",online,0
tx_181,user_29,1642.97,2025-02-02 07:22:36.678129,Walmart,"Chicago, USA",online,0
tx_182,user_265,2103.41,2025-02-02 07:22:36.678129,BestBuy,"Miami, USA",online,0
tx_183,user_477,229.76,2025-02-02 07:22:36.678129,Sephora,"Vancouver, Canada",offline,1
tx_184,user_79,4293.62,2025-02-02 07:22:36.678129,PlayStation Store,"New York, USA",offline,1
tx_185,user_49,3778.79,2025-02-02 07:22:36.678129,Sephora,"Boston, USA",online,0
tx_186,user_187,727.26,2025-02-02 07:22:36.678129,Sephora,"Boston, USA",offline,1
tx_187,user_368,802.43,2025-02-02 07:22:36.679130,Starbucks,"Berlin, Germany",online,0
tx_188,user_174,1814.8,2025-02-02 07:22:36.679130,Netflix,"Manchester, UK",online,0
tx_189,user_142,2577.79,2025-02-02 07:22:36.679130,Microsoft Store,"Boston, USA",offline,1
tx_190,user_122,3847.38,2025-02-02 07:22:36.679130,Adidas,"Osaka, Japan",online,0
tx_191,user_204,4209.96,2025-02-02 07:22:36.679130,Nike,"São Paulo, Brazil",offline,1
tx_192,user_271,3481.72,2025-02-02 07:22:36.679130,Hulu,"Melbourne, Australia",offline,1
tx_193,user_119,3791.82,2025-02-02 07:22:36.679130,Apple,"Boston, USA",online,0
tx_194,user_142,1005.76,2025-02-02 07:22:36.679130,Google Play,"Shanghai, China",offline,1
tx_195,user_202,4329.69,2025-02-02 07:22:36.679130,Zara,"Osaka, Japan",online,0
tx_196,user_370,2073.68,2025-02-02 07:22:36.679130,Nike,"Kyiv, Ukraine",offline,1
tx_197,user_422,4038.54,2025-02-02 07:22:36.679130,Hulu,"Madrid, Spain",online,0
tx_198,user_240,1758.32,2025-02-02 07:22:36.679130,IKEA,"Kyiv, Ukraine",online,0
tx_199,user_359,2779.53,2025-02-02 07:22:36.679130,Walmart,"Chicago, USA",online,0
tx_200,user_155,541.24,2025-02-02 07:22:36.679130,Starbucks,"New York, USA",online,0
tx_201,user_269,3748.85,2025-02-02 07:22:36.679130,H&M,"Boston, USA",online,0
tx_202,user_190,1180.52,2025-02-02 07:22:36.679130,Sephora,"Sydney, Australia",online,0
tx_203,user_112,4145.28,2025-02-02 07:22:36.679130,McDonald's,"Seattle, USA",offline,1
tx_204,user_263,1812.32,2025-02-02 07:22:36.679130,Nike,"Rome, Italy",offline,1
tx_205,user_274,3993.47,2025-02-02 07:22:36.679130,Netflix,"Manchester, UK",online,0
tx_206,user_169,1437.42,2025-02-02 07:22:36.679130,IKEA,"Manchester, UK",online,0
tx_207,user_201,64.4,2025-02-02 07:22:36.679130,Netflix,"London, UK",online,0
tx_208,user_500,1025.77,2025-02-02 07:22:36.679130,Burger King,"New York, USA",online,0
tx_209,user_6,2420.59,2025-02-02 07:22:36.679130,Netflix,"Melbourne, Australia",offline,1
tx_210,user_118,1896.33,2025-02-02 07:22:36.679130,Tesla,"Miami, USA",online,0
tx_211,user_344,2582.56,2025-02-02 07:22:36.679130,Target,"Miami, USA",online,0
tx_212,user_150,1371.61,2025-02-02 07:22:36.679130,Amazon,"Toronto, Canada",online,0
tx_213,user_439,1676.49,2025-02-02 07:22:36.679130,H&M,"Seattle, USA",offline,1
tx_214,user_332,957.43,2025-02-02 07:22:36.679130,Uber,"San Francisco, USA",online,0
tx_215,user_118,4850.0,2025-02-02 07:22:36.679130,BestBuy,"Melbourne, Australia",online,0
tx_216,user_478,3711.08,2025-02-02 07:22:36.679705,Google Play,"Vancouver, Canada",online,0
tx_217,user_165,294.06,2025-02-02 07:22:36.679705,Starbucks,"Beijing, China",offline,1
tx_218,user_154,1916.26,2025-02-02 07:22:36.679705,H&M,"New York, USA",offline,1
tx_219,user_365,2988.66,2025-02-02 07:22:36.679705,Apple,"Houston, USA",online,0
tx_220,user_20,1728.51,2025-02-02 07:22:36.679705,Lyft,"Singapore, Singapore",online,0
tx_221,user_483,372.01,2025-02-02 07:22:36.679705,Microsoft Store,"Osaka, Japan",online,0
tx_222,user_462,3518.63,2025-02-02 07:22:36.679705,Tesla,"Kyiv, Ukraine",online,0
tx_223,user_404,4802.23,2025-02-02 07:22:36.679705,Netflix,"Manchester, UK",online,0
tx_224,user_194,4607.16,2025-02-02 07:22:36.679705,Zara,"Manchester, UK",offline,1
tx_225,user_399,4556.74,2025-02-02 07:22:36.679705,Walmart,"San Francisco, USA",online,0
tx_226,user_428,3809.2,2025-02-02 07:22:36.679705,Tesla,"Paris, France",online,0
tx_227,user_247,1685.98,2025-02-02 07:22:36.679705,Apple,"Chicago, USA",online,0
tx_228,user_267,3379.78,2025-02-02 07:22:36.679705,Google Play,"Melbourne, Australia",online,0
tx_229,user_191,4968.24,2025-02-02 07:22:36.679705,Nike,"Mexico City, Mexico",offline,1
tx_230,user_375,3201.86,2025-02-02 07:22:36.679705,eBay,"Mexico City, Mexico",online,0
tx_231,user_7,2025.37,2025-02-02 07:22:36.679705,Amazon,"Melbourne, Australia",online,0
tx_232,user_473,296.66,2025-02-02 07:22:36.679705,IKEA,"Los Angeles, USA",online,0
tx_233,user_59,4659.31,2025-02-02 07:22:36.679705,Google Play,"Manchester, UK",offline,1
tx_234,user_112,4907.84,2025-02-02 07:22:36.679705,Google Play,"Toronto, Canada",online,0
tx_235,user_455,4350.78,2025-02-02 07:22:36.679705,AliExpress,"São Paulo, Brazil",offline,1
tx_236,user_116,3746.33,2025-02-02 07:22:36.679705,Microsoft Store,"São Paulo, Brazil",online,0
tx_237,user_58,2135.51,2025-02-02 07:22:36.679705,Adidas,"Kyiv, Ukraine",online,0
tx_238,user_25,1159.15,2025-02-02 07:22:36.679705,BestBuy,"Vancouver, Canada",offline,1
tx_239,user_198,3034.62,2025-02-02 07:22:36.679705,IKEA,"Seattle, USA",online,0
tx_240,user_260,3189.93,2025-02-02 07:22:36.679705,Nike,"Boston, USA",online,0
tx_241,user_29,3714.4,2025-02-02 07:22:36.679705,Walmart,"Los Angeles, USA",online,0
tx_242,user_343,4271.92,2025-02-02 07:22:36.679705,Microsoft Store,"Paris, France",offline,1
tx_243,user_16,1670.32,2025-02-02 07:22:36.679705,Disney+,"Madrid, Spain",online,0
tx_244,user_484,3704.23,2025-02-02 07:22:36.679705,Netflix,"Los Angeles, USA",online,0
tx_245,user_151,2900.06,2025-02-02 07:22:36.679705,Uber,"Rome, Italy",offline,1
tx_246,user_332,2747.02,2025-02-02 07:22:36.679705,Nike,"San Francisco, USA",offline,0
tx_247,user_493,2558.03,2025-02-02 07:22:36.679705,Amazon,"Los Angeles, USA",online,0
tx_248,user_166,1960.59,2025-02-02 07:22:36.679705,AliExpress,"São Paulo, Brazil",online,0
tx_249,user_320,283.33,2025-02-02 07:22:36.679705,Walmart,"Berlin, Germany",offline,1
tx_250,user_319,2901.87,2025-02-02 07:22:36.679705,Uber,"São Paulo, Brazil",offline,1
tx_251,user_353,2025.56,2025-02-02 07:22:36.679705,eBay,"Seattle, USA",offline,1
tx_252,user_345,114.14,2025-02-02 07:22:36.679705,Netflix,"Berlin, Germany",offline,1
tx_253,user_387,4713.44,2025-02-02 07:22:36.679705,Tesla,"Tokyo, Japan",online,0
tx_254,user_336,3947.49,2025-02-02 07:22:36.679705,Tesla,"Melbourne, Australia",offline,1
tx_255,user_478,2968.67,2025-02-02 07:22:36.679705,Netflix,"New York, USA",online,0
tx_256,user_445,201.74,2025-02-02 07:22:36.679705,Amazon,"London, UK",online,0
tx_257,user_282,1601.65,2025-02-02 07:22:36.679705,H&M,"San Francisco, USA",online,0
tx_258,user_139,4138.48,2025-02-02 07:22:36.679705,AliExpress,"Houston, USA",offline,1
tx_259,user_267,586.28,2025-02-02 07:22:36.680708,eBay,"Paris, France",online,0
tx_260,user_66,2751.15,2025-02-02 07:22:36.680708,Netflix,"New York, USA",online,0
tx_261,user_215,3473.9,2025-02-02 07:22:36.680708,Disney+,"Paris, France",online,0
tx_262,user_485,1028.71,2025-02-02 07:22:36.680708,McDonald's,"Miami, USA",online,0
tx_263,user_336,246.06,2025-02-02 07:22:36.680708,Tesla,"Seattle, USA",offline,0
tx_264,user_288,3037.69,2025-02-02 07:22:36.680708,Walmart,"Berlin, Germany",online,0
tx_265,user_21,1867.01,2025-02-02 07:22:36.680708,H&M,"Los Angeles, USA",online,0
tx_266,user_121,2963.56,2025-02-02 07:22:36.680708,Lyft,"Sydney, Australia",online,0
tx_267,user_323,4016.54,2025-02-02 07:22:36.680708,Lyft,"Kyiv, Ukraine",offline,1
tx_268,user_412,2666.59,2025-02-02 07:22:36.680708,Tesla,"Seattle, USA",offline,1
tx_269,user_110,761.19,2025-02-02 07:22:36.680708,Starbucks,"Kyiv, Ukraine",offline,1
tx_270,user_171,4072.39,2025-02-02 07:22:36.680708,Lyft,"Miami, USA",online,0
tx_271,user_286,1293.98,2025-02-02 07:22:36.680708,eBay,"Berlin, Germany",offline,1
tx_272,user_459,3981.99,2025-02-02 07:22:36.680708,BestBuy,"Sydney, Australia",online,0
tx_273,user_152,3667.3,2025-02-02 07:22:36.680708,Hulu,"Dubai, UAE",offline,1
tx_274,user_176,2621.85,2025-02-02 07:22:36.680708,Target,"Singapore, Singapore",online,0
tx_275,user_461,3247.87,2025-02-02 07:22:36.680708,H&M,"Rome, Italy",offline,1
tx_276,user_338,2428.27,2025-02-02 07:22:36.680708,Uber,"San Francisco, USA",online,0
tx_277,user_103,671.99,2025-02-02 07:22:36.680708,Zara,"Chicago, USA",online,0
tx_278,user_236,4703.77,2025-02-02 07:22:36.680708,Hulu,"Beijing, China",offline,1
tx_279,user_127,3401.03,2025-02-02 07:22:36.680708,Walmart,"Chicago, USA",offline,1
tx_280,user_158,4295.8,2025-02-02 07:22:36.680708,Zara,"São Paulo, Brazil",offline,1
tx_281,user_21,273.75,2025-02-02 07:22:36.680708,Starbucks,"Los Angeles, USA",online,0
tx_282,user_139,3958.34,2025-02-02 07:22:36.680708,IKEA,"Chicago, USA",online,0
tx_283,user_391,2946.38,2025-02-02 07:22:36.680708,Google Play,"Toronto, Canada",online,0
tx_284,user_103,4833.31,2025-02-02 07:22:36.680708,Google Play,"Madrid, Spain",online,0
